indicator_name,indicator_code
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS
Agricultural land (sq. km),AG.LND.AGRI.K2
Agricultural land (% of land area),AG.LND.AGRI.ZS
Arable land (hectares),AG.LND.ARBL.HA
Arable land (hectares per person),AG.LND.ARBL.HA.PC
Arable land (% of land area),AG.LND.ARBL.ZS
Land under cereal production (hectares),AG.LND.CREL.HA
Permanent cropland (% of land area),AG.LND.CROP.ZS
Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2
Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS
Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2
Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS
Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS
Forest area (sq. km),AG.LND.FRST.K2
Forest area (% of land area),AG.LND.FRST.ZS
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS
Average precipitation in depth (mm per year),AG.LND.PRCP.MM
Land area (sq. km),AG.LND.TOTL.K2
Rural land area (sq. km),AG.LND.TOTL.RU.K2
Urban land area (sq. km),AG.LND.TOTL.UR.K2
Cereal production (metric tons),AG.PRD.CREL.MT
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD
Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD
Surface area (sq. km),AG.SRF.TOTL.K2
Cereal yield (kg per hectare),AG.YLD.CREL.KG
Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS
"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD
"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD
"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS
"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS
"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD
"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD
"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD
"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD
"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD
"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS
"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD
